Block,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp
1,ev,10,7,07-May,D,18-Apr,19,1,0
1,ev,10,8,08-May,D,18-Apr,20,1,0
1,ev,10,9,09-May,D,18-Apr,21,1,0
1,ev,10,10,10-May,D,18-Apr,22,1,0
1,ev,10,11,11-May,D,18-Apr,23,1,0
1,daf,11,1,25-Apr,M,18-Apr,7,1,0
1,daf,11,2,26-Apr,M,18-Apr,8,1,0
1,daf,11,3,01-May,E,18-Apr,13,0,1
1,daf,11,4,02-May,E,18-Apr,14,0,1
1,daf,11,5,06-May,D,18-Apr,18,1,0
1,daf,11,6,07-May,D,18-Apr,19,1,0
1,daf,11,7,07-May,D,18-Apr,19,1,0
1,daf,11,8,07-May,D,18-Apr,19,1,0
1,daf,11,9,07-May,D,18-Apr,19,1,0
1,daf,11,10,08-May,D,18-Apr,20,1,0
1,daf,11,11,08-May,D,18-Apr,20,1,0
1,daf,12,1,26-Apr,M,18-Apr,8,1,0
1,daf,12,2,30-Apr,E,18-Apr,12,0,1
1,daf,12,3,02-May,E,18-Apr,14,0,1
1,daf,12,4,04-May,D,18-Apr,16,1,0
1,daf,12,5,04-May,D,18-Apr,16,1,0
1,daf,12,6,07-May,D,18-Apr,19,1,0
1,daf,12,7,08-May,D,18-Apr,20,1,0
1,daf,12,8,08-May,D,18-Apr,20,1,0
1,daf,12,9,09-May,D,18-Apr,21,1,0
1,daf,12,10,09-May,D,18-Apr,21,1,0
1,daf,13,1,26-Apr,W,18-Apr,8,0,0
1,daf,13,2,30-Apr,E,18-Apr,12,0,1
1,daf,13,3,30-Apr,E,18-Apr,12,0,1
1,daf,13,4,02-May,E,18-Apr,14,0,1
1,daf,13,5,06-May,D,18-Apr,18,1,0
1,daf,13,6,07-May,D,18-Apr,19,1,0
1,daf,13,7,07-May,D,18-Apr,19,1,0
1,daf,13,8,09-May,D,18-Apr,21,1,0
1,daf,13,9,11-May,D,18-Apr,23,1,0
1,daf,13,10,20-May,D,18-Apr,32,1,0
1,daf,14,1,25-Apr,E,18-Apr,7,0,1
1,daf,14,2,28-Apr,M,18-Apr,10,1,0
1,daf,14,3,29-Apr,M,18-Apr,11,1,0
1,daf,14,4,03-May,D,18-Apr,15,1,0
1,daf,14,5,04-May,D,18-Apr,16,1,0
1,daf,14,6,04-May,D,18-Apr,16,1,0
1,daf,14,7,05-May,D,18-Apr,17,1,0
1,daf,14,8,06-May,D,18-Apr,18,1,0
1,daf,14,9,07-May,D,18-Apr,19,1,0
1,daf,14,10,08-May,D,18-Apr,20,1,0
1,daf,14,11,09-May,D,18-Apr,21,1,0
1,ev,15,1,27-Apr,W,18-Apr,9,0,0
1,ev,15,2,03-May,D,18-Apr,15,1,0
1,ev,15,3,04-May,D,18-Apr,16,1,0
1,ev,15,4,04-May,D,18-Apr,16,1,0
1,ev,15,5,05-May,D,18-Apr,17,1,0
1,ev,15,6,06-May,D,18-Apr,18,1,0
1,ev,15,7,06-May,D,18-Apr,18,1,0
1,ev,15,8,07-May,D,18-Apr,19,1,0
1,ev,15,9,07-May,D,18-Apr,19,1,0
1,ev,15,10,08-May,D,18-Apr,20,1,0
1,ev,15,11,09-May,D,18-Apr,21,1,0
1,daf,16,1,26-Apr,M,18-Apr,8,1,0
1,daf,16,2,30-Apr,L,18-Apr,12,0,0
1,daf,16,3,01-May,E,18-Apr,13,0,1
1,daf,16,4,02-May,E,18-Apr,14,0,1
1,daf,16,5,04-May,D,18-Apr,16,1,0
1,daf,16,6,04-May,D,18-Apr,16,1,0
1,daf,16,7,04-May,D,18-Apr,16,1,0
1,daf,16,8,07-May,D,18-Apr,19,1,0
1,daf,16,9,09-May,D,18-Apr,21,1,0
1,daf,16,10,09-May,D,18-Apr,21,1,0
1,daf,16,11,09-May,D,18-Apr,21,1,0
1,ev,17,1,25-Apr,M,18-Apr,7,1,0
1,ev,17,2,26-Apr,E,18-Apr,8,0,1
1,ev,17,3,26-Apr,E,18-Apr,8,0,1
1,ev,17,4,30-Apr,M,18-Apr,12,1,0
1,ev,17,5,30-Apr,E,18-Apr,12,0,1
1,ev,17,6,01-May,E,18-Apr,13,0,1
1,ev,17,7,05-May,D,18-Apr,17,1,0
1,ev,17,8,06-May,D,18-Apr,18,1,0
1,ev,17,9,07-May,D,18-Apr,19,1,0
1,ev,17,10,07-May,D,18-Apr,19,1,0
1,ev,18,1,30-Apr,E,18-Apr,12,0,1
1,ev,18,2,01-May,E,18-Apr,13,0,1
1,ev,18,3,02-May,E,18-Apr,14,0,1
1,ev,18,4,03-May,D,18-Apr,15,1,0
1,ev,18,5,03-May,D,18-Apr,15,1,0
1,ev,18,6,04-May,D,18-Apr,16,1,0
1,ev,18,7,05-May,D,18-Apr,17,1,0
1,ev,18,8,06-May,D,18-Apr,18,1,0
1,ev,18,9,06-May,D,18-Apr,18,1,0
1,ev,18,10,07-May,D,18-Apr,19,1,0
1,ev,18,11,08-May,D,18-Apr,20,1,0
1,daf,19,1,30-Apr,W,18-Apr,12,0,0
1,daf,19,2,30-Apr,E,18-Apr,12,0,1
1,daf,19,3,02-May,E,18-Apr,14,0,1
1,daf,19,4,02-May,E,18-Apr,14,0,1
1,daf,19,5,05-May,D,18-Apr,17,1,0
1,daf,19,6,05-May,D,18-Apr,17,1,0
1,daf,19,7,05-May,D,18-Apr,17,1,0
1,daf,19,8,05-May,D,18-Apr,17,1,0
1,daf,19,9,07-May,D,18-Apr,19,1,0
1,daf,19,10,07-May,D,18-Apr,19,1,0
1,daf,19,11,08-May,D,18-Apr,20,1,0
1,ev,20,1,27-Apr,M,18-Apr,9,1,0
1,ev,20,2,02-May,D,18-Apr,14,1,0
1,ev,20,3,02-May,D,18-Apr,14,1,0
1,ev,20,4,04-May,D,18-Apr,16,1,0
1,ev,20,5,04-May,D,18-Apr,16,1,0
1,ev,20,6,05-May,D,18-Apr,17,1,0
1,ev,20,7,05-May,D,18-Apr,17,1,0
1,ev,20,8,05-May,D,18-Apr,17,1,0
1,ev,20,9,06-May,D,18-Apr,18,1,0
1,ev,20,10,07-May,D,18-Apr,19,1,0
